,UniqueSurveyID,Date,Time,Latitude,Longitude,State,Habitat,Entomofauna,OtherInvertebrate,Vertebrate
0,21740,08-07-2019,21:06:38,32.4214,77.112,Himachal Pradesh,Aquatic_Freshwater,No,Yes,Yes
1,70277,02-01-2016,06:54:46,26.924,91.0186,Assam,Aquatic_Estuarine,No,No,No
2,36887,22-04-2019,08:35:15,27.7425,76.1988,Haryana,Terrestrial_Human_Habitation,No,No,Yes
3,63477,06-04-2016,01:34:52,28.7712,76.9696,Delhi,Terrestrial_Shurb,Yes,Yes,No
4,8868,02-01-2020,23:20:15,21.217,86.2848,Orissa,Terrestrial_Human_Habitation,No,Yes,Yes
5,28246,16-03-2017,01:40:49,26.1999,92.5198,Assam,Terrestrial_Forest_PA,No,Yes,No
6,250,19-07-2017,00:53:31,12.6133,75.7321,Karnataka,Terrestrial_Forest_PA,Yes,No,Yes
7,12540,13-02-2017,14:56:43,22.4766,78.4145,Madhya Pradesh,Terrestrial_Agriculture,Yes,No,Yes
8,60832,15-01-2019,06:34:16,20.4437,72.4855,Daman and Diu,Terrestrial_Horticulture,Yes,Yes,Yes
9,86609,07-02-2020,23:05:51,25.041,84.8291,Bihar,Terrestrial_Grassland,No,Yes,Yes
10,32175,01-01-2020,12:28:11,21.1713,87.4749,Orissa,Aquatic_Estuarine,Yes,No,No
11,3138,25-12-2015,05:49:07,24.7549,86.92,West Bengal,Terrestrial_Human_Habitation,Yes,No,Yes
12,51840,08-06-2016,18:14:48,24.6793,93.4958,Manipur,Aquatic_Freshwater,No,No,No
13,90154,06-12-2019,18:58:37,11.396,72.3197,Lakshadweep,Aquatic_Marine,No,No,No
14,86448,03-03-2015,11:01:23,34.3626,75.7301,Jammu and Kashmir,Terrestrial_Forest_PA,No,Yes,Yes
15,84958,25-04-2017,01:47:37,28.1255,88.1639,Sikkim,Terrestrial_Grassland,No,Yes,Yes
16,79223,21-12-2015,12:59:01,27.6666,76.0942,Rajasthan,Terrestrial_Shurb,No,Yes,No
17,57731,29-08-2018,19:06:27,11.3434,76.7813,Kerala,Terrestrial_Forest_Outside_PA,Yes,No,Yes
18,77277,03-07-2017,21:51:03,20.1727,73.1004,Dadra and Nagar Haveli,Terrestrial_Shurb,No,Yes,No
19,87628,04-06-2019,10:01:49,16.2348,79.2928,Puducherry,Terrestrial_Agriculture,No,Yes,Yes
20,59373,11-01-2019,23:09:31,22.3575,80.6675,Chhattisgarh,Terrestrial_Shurb,Yes,No,Yes
21,99344,09-03-2015,06:36:19,29.6156,76.2087,Haryana,Terrestrial_Human_Habitation,Yes,No,No
22,10789,25-01-2016,10:21:46,19.8856,84.2179,Chhattisgarh,Terrestrial_Grassland,Yes,No,Yes
23,56398,22-04-2019,15:09:05,24.5714,86.2842,West Bengal,Aquatic_Freshwater,Yes,Yes,No
24,54883,06-09-2017,02:27:10,13.212,74.0957,Karnataka,Terrestrial_Forest_PA,Yes,No,Yes
25,30283,26-06-2015,02:40:58,22.0238,85.6613,Jharkhand,Terrestrial_Grassland,No,Yes,Yes
26,45143,28-12-2017,10:57:12,21.8669,87.162,Orissa,Terrestrial_Grassland,No,Yes,No
27,24216,10-03-2017,23:43:12,9.4472,73.6368,Lakshadweep,Terrestrial_Forest_PA,No,Yes,Yes
28,84758,27-11-2017,12:55:57,24.7524,74.9575,Rajasthan,Terrestrial_Shurb,No,No,No
29,16848,06-03-2018,18:04:03,28.8752,70.798,Rajasthan,Terrestrial_Shurb,No,No,No
30,11781,20-05-2018,02:15:55,31.3775,76.4936,Punjab,Terrestrial_Forest_PA,Yes,Yes,Yes
31,21893,27-01-2018,09:03:15,23.1739,91.6835,Tripura,Terrestrial_Human_Habitation,Yes,No,No
32,52170,23-08-2016,18:36:47,19.6047,72.9009,Maharashtra,Aquatic_Marine,No,Yes,No
33,73705,30-05-2019,22:41:16,30.3408,79.0646,Uttar Pradesh,Terrestrial_Agriculture,No,Yes,Yes
34,65009,01-01-2019,12:45:18,19.4786,73.6971,Maharashtra,Aquatic_Freshwater,Yes,No,No
35,92263,19-06-2015,21:04:52,30.4313,78.8611,Uttaranchal,Aquatic_Freshwater,Yes,Yes,Yes
36,9565,26-02-2017,08:13:20,15.5986,73.7116,Goa,Terrestrial_Shurb,Yes,No,No
37,29180,31-05-2016,16:34:00,25.0306,82.0481,Madhya Pradesh,Aquatic_Freshwater,No,Yes,No
38,34554,17-07-2016,03:02:18,34.7682,76.3236,Jammu and Kashmir,Aquatic_Marine,No,Yes,No
39,94739,18-08-2016,13:56:49,8.8797,76.4051,Tamil Nadu,Terrestrial_Horticulture,Yes,Yes,Yes
40,26119,05-05-2016,16:28:13,32.3356,76.3716,Himachal Pradesh,Terrestrial_Grassland,Yes,Yes,No
41,56890,10-03-2017,01:36:03,14.1889,93.5833,Andaman and Nicobar,Terrestrial_Shurb,No,Yes,Yes
42,11658,09-01-2015,14:15:10,22.1613,92.7343,Mizoram,Terrestrial_Shurb,No,Yes,No
43,16721,04-10-2016,06:36:16,30.7537,76.7491,Chandigarh,Terrestrial_Agriculture,Yes,Yes,Yes
44,91021,18-03-2017,11:47:43,25.5651,93.0373,Manipur,Terrestrial_Human_Habitation,No,Yes,Yes
45,78097,16-03-2019,12:49:31,19.3117,86.0101,Orissa,Aquatic_Freshwater,Yes,No,No
46,64471,06-10-2017,22:27:36,20.5524,72.627,Gujarat,Terrestrial_Forest_PA,Yes,Yes,No
47,15932,31-01-2015,17:13:44,20.3033,72.9798,Dadra and Nagar Haveli,Terrestrial_Agriculture,Yes,Yes,No
48,98157,07-04-2019,02:33:16,30.7185,76.7041,Chandigarh,Terrestrial_Agriculture,No,Yes,Yes
49,23890,29-12-2016,00:17:02,21.7656,82.873,Chhattisgarh,Terrestrial_Grassland,Yes,No,No
50,26644,21-12-2016,21:44:07,26.5638,78.6232,Uttar Pradesh,Aquatic_Estuarine,No,Yes,Yes
51,76618,08-04-2015,09:24:44,11.1313,76.3817,Kerala,Aquatic_Estuarine,No,No,Yes
52,27412,10-06-2019,12:28:39,24.3684,93.2594,Mizoram,Aquatic_Estuarine,No,Yes,No
53,13031,02-06-2016,23:11:39,27.5498,88.3511,Sikkim,Aquatic_Freshwater,No,Yes,Yes
54,84896,21-01-2020,23:58:47,30.7407,76.717,Chandigarh,Terrestrial_Forest_PA,No,No,No
55,36252,09-04-2016,02:37:44,12.1736,74.8959,Kerala,Terrestrial_Grassland,No,No,No
56,43127,04-10-2018,10:52:49,13.701,79.6163,Puducherry,Aquatic_Marine,Yes,No,No
57,62735,04-01-2020,05:11:17,27.1295,77.4793,Uttar Pradesh,Terrestrial_Forest_PA,Yes,Yes,No
58,31846,20-12-2017,13:29:31,28.6811,74.3386,Rajasthan,Terrestrial_Human_Habitation,No,No,Yes
59,69,07-09-2015,08:54:51,15.8459,76.5455,Karnataka,Terrestrial_Grassland,Yes,Yes,No
60,56006,03-06-2019,09:55:25,27.5274,88.1186,Sikkim,Terrestrial_Forest_Outside_PA,No,No,Yes
61,27190,15-03-2018,02:12:37,27.5656,88.1689,Sikkim,Terrestrial_Grassland,Yes,Yes,Yes
62,30778,05-03-2017,02:03:44,15.2204,73.9154,Goa,Terrestrial_Forest_PA,No,Yes,No
